observation_date,BBKMGDP
1982-01-01,-11.0701176447480555964
1982-02-01,2.9667447977774892287
1982-03-01,0.9462608723084727780
1982-04-01,2.3079941906582082112
1982-05-01,2.9931129456102647524
1982-06-01,-1.3750400255749055667
1982-07-01,-2.2294667940217141044
1982-08-01,-3.7051138792037199288
1982-09-01,0.0754857328592160037
1982-10-01,-0.5143504609166962283
1982-11-01,2.0563983969203754043
1982-12-01,2.4140737690830809115
1983-01-01,8.0366332643164497540
1983-02-01,3.4544825292549927731
1983-03-01,9.2520999085571009601
1983-04-01,9.9632301861271326260
1983-05-01,9.8636953031115908175
1983-06-01,9.4292174063718849908
1983-07-01,6.9748410618551712759
1983-08-01,6.0213483447889508682
1983-09-01,9.5208314560079259081
1983-10-01,8.6840067996239671544
1983-11-01,7.7823096980561148328
1983-12-01,7.6744551210610687519
1984-01-01,8.7127592814614001071
1984-02-01,7.2362625652193566239
1984-03-01,5.9276474731282204900
1984-04-01,7.4309154136233264154
1984-05-01,7.2896460150476141138
1984-06-01,5.7388740486759486359
1984-07-01,3.0694640367227457034
1984-08-01,2.4811528424826092554
1984-09-01,1.6021153423875156285
1984-10-01,3.2681648811752301853
1984-11-01,5.0059264690030964573
1984-12-01,3.9106586291028673230
1985-01-01,3.5223975108252396637
1985-02-01,3.6729608372594158006
1985-03-01,3.9659691198695878889
1985-04-01,1.9095121125093303949
1985-05-01,4.8244502422825839005
1985-06-01,4.5900772309766040280
1985-07-01,6.9123549955254608435
1985-08-01,7.9801729960568463795
1985-09-01,3.8502314078084713955
1985-10-01,0.2959504794202691969
1985-11-01,2.8161421087669982199
1985-12-01,4.4777508495175721848
1986-01-01,6.5154307259362891358
1986-02-01,0.9767755172112407847
1986-03-01,0.1713651388803985043
1986-04-01,2.8722905767581257130
1986-05-01,1.6405170461333358212
1986-06-01,2.9581470259968090097
1986-07-01,4.9332125662110275499
1986-08-01,3.8234658422793001975
1986-09-01,4.2823988235471883712
1986-10-01,0.0718907036868050020
1986-11-01,1.1282901762433312776
1986-12-01,4.4012538420776721182
1987-01-01,-0.9513252996672868500
1987-02-01,7.7384463946162291847
1987-03-01,4.0645249773690892425
1987-04-01,4.3561834565883854609
1987-05-01,3.6730138651920598569
1987-06-01,2.3287872623976912934
1987-07-01,2.7903776874296841726
1987-08-01,3.3450087323209327650
1987-09-01,7.6652190007616258782
1987-10-01,9.4021183274456632262
1987-11-01,5.8805480685193742829
1987-12-01,2.6399853648013800189
1988-01-01,-1.3299317557837775361
1988-02-01,2.8099362823215456864
1988-03-01,5.7808430827221153336
1988-04-01,6.4824917075866954619
1988-05-01,4.8248718407094788319
1988-06-01,3.5312589316647424731
1988-07-01,0.4867713599987690820
1988-08-01,1.8885624817273027887
1988-09-01,3.9039753730645272434
1988-10-01,6.4052062087131620416
1988-11-01,6.0515331934496234823
1988-12-01,6.6368534129960945478
1989-01-01,4.2289059775174404621
1989-02-01,0.8460874214818234762
1989-03-01,2.6940358530715990959
1989-04-01,4.2633005696667005680
1989-05-01,2.4433046852241377955
1989-06-01,3.4683994707891896425
1989-07-01,2.0428442451546393599
1989-08-01,5.5982974422780467094
1989-09-01,-0.1497492187249847007
1989-10-01,-1.6142913073959443970
1989-11-01,1.5449505500329014929
1989-12-01,3.5606319613967940541
1990-01-01,5.2058373038064642557
1990-02-01,5.7369273912551363992
1990-03-01,3.3657987502306161431
1990-04-01,-1.1721164937559094277
1990-05-01,1.1484406877161208449
1990-06-01,1.8052560488532161109
1990-07-01,0.0109429932897321999
1990-08-01,0.3578296446912795914
1990-09-01,-3.1163036399418433398
1990-10-01,-4.2408089148800804935
1990-11-01,-5.6861900066961874600
1990-12-01,-2.9675819419905233865
1991-01-01,-2.1999059684347996857
1991-02-01,0.1932316940715352871
1991-03-01,0.9448598252938747999
1991-04-01,4.9959973908505528328
1991-05-01,4.2556503558984895008
1991-06-01,2.3799010150266113328
1991-07-01,2.0574251043010631790
1991-08-01,0.4851133842590402145
1991-09-01,1.9945178936323428864
1991-10-01,0.7836885251398069130
1991-11-01,1.7710201378139664996
1991-12-01,2.1464363672335649014
1992-01-01,6.2327484570352043036
1992-02-01,6.2387190124664062552
1992-03-01,5.6035420390552701519
1992-04-01,4.0398505579694932166
1992-05-01,2.7643898504614496936
1992-06-01,3.7328919852546960101
1992-07-01,5.0102881193969084350
1992-08-01,2.3853832111618293865
1992-09-01,5.3849573853965635450
1992-10-01,5.3119279963101195818
1992-11-01,3.1671512577132245880
1992-12-01,1.8973414342957592993
1993-01-01,-0.4208330042344349819
1993-02-01,-0.1898355421936556986
1993-03-01,0.7101742853323753657
1993-04-01,4.1790660154733956233
1993-05-01,2.8263541067012112329
1993-06-01,1.4525491845338747154
1993-07-01,0.8367614665812310726
1993-08-01,1.7567524753250143288
1993-09-01,5.3953645481525205341
1993-10-01,6.8205139674419594797
1993-11-01,5.5149625862360460715
1993-12-01,4.6027548066742545174
1994-01-01,1.9234266122659071652
1994-02-01,3.1503716105487198362
1994-03-01,7.9635868114793790795
1994-04-01,5.7448655908371124568
1994-05-01,4.6394947217124720140
1994-06-01,2.8857547785234833881
1994-07-01,0.2638853311016994829
1994-08-01,3.1403675774993806691
1994-09-01,3.4954585242742801654
1994-10-01,5.5414597105869560778
1994-11-01,5.1546601181726288132
1994-12-01,3.9231505256411680627
1995-01-01,0.2157598378154318985
1995-02-01,-0.6977977995072146555
1995-03-01,0.5226460896410070056
1995-04-01,0.4463980604291504228
1995-05-01,2.6790122668291296293
1995-06-01,3.6566800908733294584
